event_id,event_date,category,title,agenda_name,status,has_video,video_url,duration_minutes,has_agenda,agenda_pdf_url,minutes_pdf_url,location
6611,2026-07-08,Town Board Work Session,Town Board Work Session,Work Session Agenda 7-8-26,Published,True,https://cpmedia.azureedge.net/riverheadny/4d3c20bc-c40e-4f0a-9c38-f0bfcdc0597e.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6611/files/agenda/6016,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6440,2026-07-07,Town Board,Town Board Meeting,Agenda for Town Board Meeting 7/7/2026,Published,True,https://cpmedia.azureedge.net/riverheadny/9e48833430.mp4,106,True,https://riverheadny.portal.civicclerk.com/event/6440/files/agenda/5995,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6118,2026-07-07,Pre-Submission Conferences,Pre-Submission Conferences,7.7.26 Pre-Submission,Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6118/files/agenda/6015,,
6519,2026-07-02,Planning Board,Planning Board Meeting,"July 2, 2026",Published,True,https://cpmedia.azureedge.net/riverheadny/ed557709-2ba8-4b44-9274-977bff177777.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6519/files/agenda/6009,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6486,2026-07-02,Town Board Work Session,Town Board Work Session,Work Session Agenda 6-30-26,Published,True,https://cpmedia.azureedge.net/riverheadny/ea593a2e-ae68-4609-8d14-5f7712aa8bd7.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6486/files/agenda/6013,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6117,2026-06-30,Pre-Submission Conferences,Pre-Submission Conferences,6.30.26 Pre-Submission,Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6117/files/agenda/6010,,
3891,2026-06-25,Zoning Board of Appeals,Zoning Board of Appeals,"June 25, 2026 Zoning Board of Appeals",Published,True,https://cpmedia.azureedge.net/riverheadny/3d7bad15-6ea1-4de3-97dc-48e87b5f315e.mp4,,True,https://riverheadny.portal.civicclerk.com/event/3891/files/agenda/6006,,
6485,2026-06-25,Town Board Work Session,Town Board Work Session,Work Session Agenda 6-26-26,Published,True,https://cpmedia.azureedge.net/riverheadny/42c31e24-4039-4a91-a3ee-f4daa0b34d27.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6485/files/agenda/6008,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6427,2026-06-24,Architectural Review Board,Architectural Review Board,"June 24, 2026",Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6427/files/agenda/6004,,"4 W Second Street, Riverhead, NY"
6610,2026-06-23,Town Board,Special Town Board Meeting,Special Town Board Meeting 6/23/2026,Published,True,https://cpmedia.azureedge.net/riverheadny/52dcfa6df7.mp4,18,True,https://riverheadny.portal.civicclerk.com/event/6610/files/agenda/6007,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
6116,2026-06-23,Pre-Submission Conferences,Pre-Submission Conferences,6.23.26 Pre-Submission,Published,False,,,True,https://riverheadny.portal.civicclerk.com/event/6116/files/agenda/6005,,
6530,2026-06-18,Planning Board,Planning Board Meeting,"June 18, 2026",Published,True,https://cpmedia.azureedge.net/riverheadny/04678ffb-be26-4277-80ac-4d18957d4d2c.mp4,,True,https://riverheadny.portal.civicclerk.com/event/6530/files/agenda/6000,,"Riverhead Town Hall, 4 West Second Street, Riverhead, NY"
